CustomerID,Age,Gender,Tenure_Months,Contract_Type,Monthly_Charge,Total_Charges,Num_Support_Tickets,Avg_Monthly_Usage_Hrs,Num_Referrals,Has_Premium_Support,Has_Online_Backup,Payment_Method,Churned
CUST-00001,56,Male,21,Month-to-Month,96.32,2063.17,1,244.5,0,0,0,Bank Transfer,0
CUST-00002,69,Female,69,Month-to-Month,100.22,6885.23,2,87.4,0,0,0,Cash,0
CUST-00003,46,Female,48,One-Year,58.51,2775.6,4,297.4,0,0,1,Digital Wallet,0
CUST-00004,32,Male,20,One-Year,61.79,1238.26,0,245.0,1,0,0,Credit Card,0
CUST-00005,60,Female,67,One-Year,24.45,1672.37,1,212.5,0,0,1,Cash,0
CUST-00006,25,Female,44,Two-Year,48.91,2148.71,2,18.9,2,0,0,Credit Card,0
CUST-00007,38,Female,33,One-Year,65.13,2187.99,0,271.3,4,0,0,Digital Wallet,0
CUST-00008,56,Male,61,Month-to-Month,31.7,1964.59,1,237.1,0,1,0,Credit Card,0
CUST-00009,36,Female,9,Month-to-Month,65.33,577.12,1,69.1,1,0,1,Digital Wallet,1
CUST-00010,40,Female,68,One-Year,105.32,7074.4,1,118.0,0,0,1,Credit Card,0
CUST-00011,28,Male,35,One-Year,78.13,2709.37,2,81.0,1,0,1,Digital Wallet,0
CUST-00012,28,Male,65,One-Year,27.89,1899.99,1,295.3,1,0,0,Digital Wallet,0
CUST-00013,41,Female,8,One-Year,39.17,330.36,0,256.3,0,1,0,Credit Card,0
CUST-00014,53,Female,45,Month-to-Month,67.45,3003.27,0,279.1,1,0,1,Cash,0
CUST-00015,57,Male,47,Month-to-Month,56.15,2651.58,4,236.7,1,1,1,Credit Card,0
CUST-00016,41,Male,40,Month-to-Month,55.87,2268.63,1,137.2,1,0,1,Cash,0
CUST-00017,20,Female,54,Month-to-Month,72.93,3906.27,1,62.0,0,1,0,Bank Transfer,0
CUST-00018,39,Female,46,Month-to-Month,78.44,3670.01,1,62.8,0,0,1,Digital Wallet,0
CUST-00019,19,Female,47,One-Year,99.69,4710.21,1,45.9,0,0,0,Digital Wallet,1
CUST-00020,41,Female,15,One-Year,54.1,756.5,3,164.2,0,0,0,Credit Card,0
CUST-00021,61,Male,19,Month-to-Month,100.55,1953.27,0,276.0,1,0,0,Credit Card,0
CUST-00022,47,Female,26,Month-to-Month,53.86,1379.88,2,297.5,0,0,1,Bank Transfer,1
CUST-00023,55,Female,52,Month-to-Month,25.54,1319.12,2,86.5,1,0,1,Digital Wallet,0
CUST-00024,19,Male,22,Month-to-Month,75.42,1608.44,1,209.3,1,1,0,Cash,0
CUST-00025,38,Female,21,One-Year,78.79,1686.16,3,179.3,1,0,0,Credit Card,0
CUST-00026,50,Male,51,One-Year,113.45,5778.51,2,146.9,1,0,0,Bank Transfer,0
CUST-00027,29,Female,38,One-Year,92.61,3552.87,1,199.9,2,0,0,Digital Wallet,0
CUST-00028,39,Female,20,One-Year,111.78,2208.05,1,111.7,0,0,0,Bank Transfer,0
CUST-00029,61,Male,29,One-Year,110.83,3180.8,1,283.4,1,0,0,Cash,0
CUST-00030,42,Male,51,Month-to-Month,80.46,4066.14,2,211.8,3,0,1,Credit Card,0
CUST-00031,66,Female,4,Month-to-Month,72.78,310.92,3,226.4,0,0,0,Bank Transfer,0
CUST-00032,44,Female,55,Month-to-Month,75.74,4131.68,1,73.1,1,1,0,Digital Wallet,0
CUST-00033,59,Female,71,Two-Year,117.83,8355.77,2,51.0,0,1,1,Credit Card,0
CUST-00034,45,Male,28,Month-to-Month,97.32,2699.04,2,118.6,0,0,0,Digital Wallet,1
CUST-00035,33,Female,4,Month-to-Month,30.63,144.52,0,230.1,0,0,1,Credit Card,0
CUST-00036,32,Male,22,Two-Year,97.84,2065.71,3,281.7,2,0,0,Bank Transfer,0
CUST-00037,64,Male,45,Two-Year,37.05,1679.6,0,128.5,0,0,1,Digital Wallet,0
CUST-00038,68,Female,67,One-Year,64.74,4424.15,1,232.4,3,0,0,Credit Card,0
CUST-00039,61,Male,66,Month-to-Month,41.05,2771.1,1,141.4,1,0,1,Credit Card,0
CUST-00040,69,Female,34,Month-to-Month,88.96,2993.81,1,88.9,3,0,0,Cash,0
CUST-00041,20,Female,55,Month-to-Month,107.73,5949.88,2,221.9,1,0,1,Cash,0
CUST-00042,54,Female,1,Month-to-Month,49.04,64.07,1,239.6,2,0,0,Cash,0
CUST-00043,68,Female,38,Month-to-Month,28.2,1145.07,5,61.3,0,0,0,Cash,0
CUST-00044,24,Female,6,Month-to-Month,49.85,173.59,0,91.9,3,0,0,Credit Card,0
CUST-00045,38,Male,25,Two-Year,87.24,2236.64,1,148.7,1,0,1,Credit Card,0
CUST-00046,26,Male,17,Month-to-Month,52.88,885.58,1,56.4,1,1,1,Credit Card,0
CUST-00047,56,Female,61,One-Year,47.81,2879.25,1,278.7,1,1,0,Cash,0
CUST-00048,35,Female,12,One-Year,38.44,422.69,1,177.6,2,0,0,Digital Wallet,0
CUST-00049,21,Male,6,Month-to-Month,69.75,353.5,2,36.8,0,0,0,Digital Wallet,0
CUST-00050,42,Male,27,One-Year,47.59,1254.22,2,55.6,1,0,0,Cash,1
CUST-00051,31,Male,8,Month-to-Month,93.1,690.81,1,286.3,0,0,0,Bank Transfer,1
CUST-00052,67,Male,65,Month-to-Month,27.66,1806.91,1,221.6,2,1,1,Credit Card,0
CUST-00053,26,Female,57,One-Year,86.4,4954.3,4,220.5,0,0,1,Credit Card,0
CUST-00054,43,Female,40,Month-to-Month,43.76,1737.57,2,22.2,2,1,1,Credit Card,0
CUST-00055,19,Male,14,Two-Year,68.93,1040.01,1,268.6,2,0,0,Credit Card,0
CUST-00056,37,Female,35,Month-to-Month,48.61,1673.93,1,133.4,0,1,1,Bank Transfer,0
CUST-00057,45,Male,48,One-Year,92.28,4414.0,1,198.1,3,1,0,Digital Wallet,0
CUST-00058,64,Female,56,Month-to-Month,114.53,6390.03,0,287.9,0,1,0,Credit Card,0
CUST-00059,24,Male,49,Month-to-Month,111.71,5503.72,0,30.5,1,0,0,Digital Wallet,1
CUST-00060,61,Female,13,Month-to-Month,78.34,1053.4,3,144.9,0,1,0,Bank Transfer,0
CUST-00061,25,Male,61,One-Year,66.26,4066.63,2,15.4,1,0,1,Cash,0
CUST-00062,64,Male,49,Two-Year,101.83,4983.46,1,150.1,1,1,0,Digital Wallet,0
CUST-00063,52,Female,46,Two-Year,88.33,3996.15,1,76.1,0,0,1,Cash,0
CUST-00064,31,Male,62,Month-to-Month,38.36,2362.35,1,273.4,1,0,1,Credit Card,0
CUST-00065,34,Female,8,One-Year,102.09,890.63,3,119.8,1,1,0,Credit Card,0
CUST-00066,53,Female,43,One-Year,62.89,2754.93,0,190.3,0,1,0,Bank Transfer,0
CUST-00067,67,Male,20,One-Year,38.9,792.7,1,258.2,0,1,0,Credit Card,0
CUST-00068,57,Female,39,Month-to-Month,48.18,1859.8,1,295.1,0,0,0,Bank Transfer,0
CUST-00069,21,Female,49,One-Year,46.75,2290.07,0,151.4,0,1,1,Credit Card,0
CUST-00070,19,Female,64,Two-Year,71.92,4583.88,1,137.0,1,1,1,Bank Transfer,0
CUST-00071,23,Female,62,Month-to-Month,43.44,2752.93,0,23.2,0,0,0,Cash,0
CUST-00072,59,Female,54,Two-Year,32.36,1705.49,0,4.3,1,1,1,Credit Card,0
CUST-00073,21,Male,9,One-Year,32.37,337.51,0,182.8,1,0,0,Cash,0
CUST-00074,46,Female,37,Month-to-Month,78.33,2871.75,1,20.1,0,0,0,Credit Card,0
CUST-00075,35,Female,49,Month-to-Month,93.48,4646.57,2,114.4,2,0,0,Credit Card,0
CUST-00076,43,Female,41,Month-to-Month,52.15,2159.49,1,1.6,0,0,0,Bank Transfer,0
CUST-00077,61,Female,17,One-Year,23.47,361.52,1,184.8,0,1,0,Digital Wallet,0
CUST-00078,51,Female,21,Two-Year,32.72,671.65,1,127.9,0,0,0,Digital Wallet,0
CUST-00079,27,Male,51,Month-to-Month,111.47,5720.55,1,38.5,1,0,0,Digital Wallet,0
CUST-00080,53,Female,59,Two-Year,69.35,4066.69,2,89.3,1,0,0,Credit Card,0
CUST-00081,31,Male,39,Two-Year,65.36,2550.15,2,171.1,2,0,0,Credit Card,0
CUST-00082,48,Male,55,Month-to-Month,23.8,1283.35,0,197.2,0,0,0,Credit Card,0
CUST-00083,65,Male,41,Two-Year,92.86,3895.22,3,139.0,2,0,0,Credit Card,0
CUST-00084,32,Male,39,Two-Year,72.81,2936.14,3,241.3,3,0,1,Cash,0
CUST-00085,25,Female,13,One-Year,40.21,595.89,0,34.2,2,1,1,Cash,0
CUST-00086,31,Male,64,One-Year,31.01,1978.42,1,25.8,2,1,0,Credit Card,0
CUST-00087,40,Male,11,Two-Year,58.34,621.6,4,13.8,0,0,0,Digital Wallet,0
CUST-00088,57,Female,19,One-Year,103.72,1931.72,1,161.0,0,0,1,Bank Transfer,0
CUST-00089,38,Female,11,Month-to-Month,106.53,1248.62,1,212.0,4,0,0,Credit Card,0
CUST-00090,33,Female,46,Two-Year,80.28,3739.42,1,39.6,0,0,1,Bank Transfer,0
CUST-00091,62,Male,45,One-Year,92.75,4222.69,1,191.9,0,1,0,Bank Transfer,1
CUST-00092,35,Female,1,One-Year,31.52,19.02,1,143.3,0,0,0,Digital Wallet,0
CUST-00093,64,Female,40,Month-to-Month,78.81,3064.51,1,296.2,0,0,0,Credit Card,0
CUST-00094,41,Male,19,One-Year,86.7,1570.9,2,215.4,2,0,0,Cash,0
CUST-00095,43,Female,61,Month-to-Month,40.07,2447.15,1,197.4,3,1,1,Bank Transfer,0
CUST-00096,42,Female,12,Two-Year,108.02,1270.11,0,171.3,0,0,0,Credit Card,0
